"Date","RegionID","RegionName","State","Metro","County","City","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2017-05-31,96117,"90266","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Manhattan Beach",1805,2245100,-0.00381594710919821,-0.0156955587706607,0.0342270130827345,0.121683265241931,0.0408478189742489,"2017-01","2017-Q1",2297000,-0.0225946887244232,"2016-11"
2017-05-31,78917,"48035","MI","Detroit","Macomb","Clinton Township",1806,129400,0.00232378001549187,0.0229249011857708,0.109777015437393,0.115553727586928,-0.00318909191268757,"2005-11","2005-Q4",150100,-0.137908061292472,"2000-09"
2017-05-31,74656,"38118","TN","Memphis","Shelby","Memphis",1807,70500,0.0187861271676301,0.0522388059701493,0.150081566068515,0.0501467867536938,-0.0151171024996951,"2007-04","2007-Q2",82400,-0.144417475728155,"2001-01"
2017-05-31,95213,"86442","AZ","Lake Havasu City","Mohave","Bullhead City",1808,140200,0,-0.0049680624556423,0.0188953488372093,0.0860254620571002,-0.0367159187865325,"2006-05","2006-Q2",216800,-0.353321033210332,"2004-08"
2017-05-31,72765,"33702","FL","Tampa","Pinellas","Saint Petersburg",1809,166400,0.0171149144254279,0.0445699937225361,0.160390516039052,0.140853907168371,0.000180467459078848,"2006-05","2006-Q2",177700,-0.0635903207653348,"2005-10"
2017-05-31,94998,"85614","AZ","Tucson","Pima","Green Valley",1810,153900,0.00588235294117647,0.019205298013245,0.0584594222833563,0.0360891851455605,-0.030325010264737,"2006-11","2006-Q4",220100,-0.30077237619264,"2005-02"
2017-05-31,73010,"34119","FL","Naples","Collier","Naples",1811,414100,-0.00719251977942939,-0.0147513680704259,0.0164457535591556,0.0639766271351832,,"2016-11","2016-Q4",432800,-0.0432070240295749,"2016-09"
2017-05-31,70235,"28803","NC","Asheville","Buncombe","Asheville",1812,254500,0.0171862509992006,0.0299473897207608,0.0965101249461439,0.0656371708560366,0.0171987244458036,"2017-05","2017-Q2",254500,0,"2017-05"
2017-05-31,99890,"98584","WA","Shelton","Mason","Shelton",1813,207400,0.00533204071740184,0.0292803970223325,0.12656165127648,0.0454128256088768,-0.00592564298541598,"2007-10","2007-Q4",224600,-0.0765805877114871,"2006-02"
2017-05-31,72433,"33130","FL","Miami-Fort Lauderdale","Miami-Dade","Miami",1814,277000,-0.00144196106705119,-0.00287976961843053,-0.0114204139900071,0.0464909746890978,-0.0172657727248152,"2006-11","2006-Q4",337100,-0.178285375259567,"2005-07"
2017-05-31,96791,"92307","CA","Riverside","San Bernardino","Apple Valley",1815,242000,0.0112829084830756,0.0228233305156382,0.101000909918107,0.127178626218947,-0.0277641287393056,"2006-07","2006-Q3",345900,-0.300375831165077,"2004-12"
2017-05-31,95989,"90008","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Los Angeles",1816,727300,0.00748026042388142,0.0313386273397618,0.127771747557761,0.132506636638482,,"2017-05","2017-Q2",727300,0,"2017-05"
2017-05-31,87128,"66212","KS","Kansas City","Johnson","Overland Park",1817,185200,0.00162249864791779,0.00816548720740337,0.0601030337721809,0.0359763784905891,0.0173713109538318,"2017-05","2017-Q2",185200,0,"2017-05"
2017-05-31,58642,"02128","MA","Boston","Suffolk","Boston",1818,435000,0.0125698324022346,0.0419161676646707,0.158455392809587,0.127433634506306,0.0463180276751014,"2017-05","2017-Q2",435000,0,"2017-05"
2017-05-31,79094,"48239","MI","Detroit","Wayne","Redford",1819,86200,-0.00231481481481481,0.0141176470588235,0.14780292942743,0.141377878260469,-0.032862823247045,"2005-12","2005-Q4",131600,-0.344984802431611,"1997-09"
2017-05-31,71141,"30458","GA","Statesboro","Bulloch","Statesboro",1820,128000,0.0126582278481013,0.0142630744849445,-0.00389105058365759,0.0131602845865098,,"2009-08","2009-Q3",151900,-0.157340355497038,
2017-05-31,74743,"38301","TN","Jackson","Madison","Jackson",1821,64100,0,-0.0153609831029186,0.0110410094637224,0.0198501859750804,,"2010-08","2010-Q3",69400,-0.0763688760806916,
2017-05-31,65066,"17404","PA","York","York","Manchester Township",1822,126000,0.00238663484486874,0.00638977635782748,0.0614995787700084,0.0177308686929567,-0.00635911436179926,"2007-11","2007-Q4",135600,-0.0707964601769911,"2006-06"
2017-05-31,97047,"92840","CA","Los Angeles-Long Beach-Anaheim","Orange","Garden Grove",1823,550000,0.00751053306466386,0.0138248847926267,0.0700389105058366,0.100004334051229,-0.00689480024874034,"2006-07","2006-Q3",617200,-0.108878807517822,"2005-08"
2017-05-31,65797,"19130","PA","Philadelphia","Philadelphia","Philadelphia",1824,355100,0.0108169655565044,0.0268941584731058,0.0832824893227578,0.0500982547478661,0.0171064137645676,"2017-05","2017-Q2",355100,0,"2017-05"
